contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251128C00110000,call,2025-11-28,110.0,2025-11-06 15:22:28+00:00,2025-11-06 10:22:28 EST,160.95,0.0,0.0,0.0,0.0,,8,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00120000,call,2025-11-28,120.0,2025-11-05 17:41:07+00:00,2025-11-05 12:41:07 EST,150.8,0.0,0.0,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00125000,call,2025-11-28,125.0,2025-11-05 17:54:19+00:00,2025-11-05 12:54:19 EST,145.77,0.0,0.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00130000,call,2025-11-28,130.0,2025-11-06 15:22:28+00:00,2025-11-06 10:22:28 EST,141.01,0.0,0.0,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00135000,call,2025-11-28,135.0,2025-11-05 17:41:07+00:00,2025-11-05 12:41:07 EST,135.81,0.0,0.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00140000,call,2025-11-28,140.0,2025-11-05 17:45:00+00:00,2025-11-05 12:45:00 EST,130.7,0.0,0.0,0.0,0.0,,8,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00145000,call,2025-11-28,145.0,2025-11-12 16:43:13+00:00,2025-11-12 11:43:13 EST,129.78,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00150000,call,2025-11-28,150.0,2025-11-05 19:10:27+00:00,2025-11-05 14:10:27 EST,121.2,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00155000,call,2025-11-28,155.0,2025-11-17 18:10:50+00:00,2025-11-17 13:10:50 EST,113.32,0.0,0.0,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00160000,call,2025-11-28,160.0,2025-11-05 17:25:01+00:00,2025-11-05 12:25:01 EST,109.91,0.0,0.0,0.0,0.0,68.0,10,1.0000000000000003e-05,True,REGULAR,USD
