ticker,lower_strike,upper_strike,max_relative_strike
AAPL,0.0,25.0,7.2785501451523
AAPL,25.0,35.0,10.91782521772845
AAPL,35.0,45.0,14.5571002903046
AAPL,45.0,55.0,18.196375362880747
AAPL,55.0,65.0,21.8356504354569
AAPL,65.0,75.0,25.47492550803305
AAPL,75.0,85.0,29.1142005806092
AAPL,85.0,95.0,32.75347565318535
AAPL,95.0,105.0,36.392750725761495
AAPL,105.0,115.0,40.03202579833765
AAPL,115.0,125.0,43.6713008709138
AAPL,125.0,135.0,47.31057594348994
AAPL,135.0,145.0,50.94985101606609
AAPL,145.0,155.0,54.589126088642246
AAPL,155.0,165.0,58.2284011612184
AAPL,165.0,175.0,61.86767623379454
AAPL,175.0,9999.0,192.88157884653597
