ticker,lower_strike,upper_strike,max_relative_strike
AMZN,0.0,25.0,
AMZN,25.0,35.0,
AMZN,35.0,45.0,
AMZN,45.0,55.0,22.09651770803115
AMZN,55.0,65.0,26.515821249637376
AMZN,65.0,75.0,30.93512479124361
AMZN,75.0,85.0,35.354428332849835
AMZN,85.0,95.0,39.77373187445606
AMZN,95.0,105.0,44.1930354160623
AMZN,105.0,115.0,48.61233895766853
AMZN,115.0,125.0,53.03164249927475
AMZN,125.0,135.0,57.45094604088099
AMZN,135.0,145.0,61.87024958248721
AMZN,145.0,155.0,66.28955312409344
AMZN,155.0,165.0,70.70885666569967
AMZN,165.0,175.0,75.12816020730591
AMZN,175.0,9999.0,163.5142310394305
