ticker,lower_strike,upper_strike,max_relative_strike
GOOG,0.0,25.0,
GOOG,25.0,35.0,
GOOG,35.0,45.0,
GOOG,45.0,55.0,15.70006588009822
GOOG,55.0,65.0,18.840079056117865
GOOG,65.0,75.0,21.980092232137512
GOOG,75.0,85.0,25.120105408157155
GOOG,85.0,95.0,28.2601185841768
GOOG,95.0,105.0,31.40013176019644
GOOG,105.0,115.0,34.54014493621609
GOOG,115.0,125.0,37.68015811223573
GOOG,125.0,135.0,40.820171288255374
GOOG,135.0,145.0,43.960184464275024
GOOG,145.0,155.0,47.10019764029466
GOOG,155.0,165.0,50.24021081631431
GOOG,165.0,175.0,53.38022399233395
GOOG,175.0,9999.0,135.0205665688447
