ticker,lower_strike,upper_strike,max_relative_strike
JPM,0.0,25.0,
JPM,25.0,35.0,
JPM,35.0,45.0,
JPM,45.0,55.0,
JPM,55.0,65.0,
JPM,65.0,75.0,23.48993288590604
JPM,75.0,85.0,26.845637583892614
JPM,85.0,95.0,30.2013422818792
JPM,95.0,105.0,33.557046979865774
JPM,105.0,115.0,36.91275167785235
JPM,115.0,125.0,40.26845637583892
JPM,125.0,135.0,43.62416107382551
JPM,135.0,145.0,46.97986577181208
JPM,145.0,155.0,50.33557046979866
JPM,155.0,165.0,53.69127516778524
JPM,165.0,175.0,57.04697986577181
JPM,175.0,9999.0,157.71812080536913
