ticker,lower_strike,upper_strike,max_relative_strike
META,0.0,25.0,3.2623767063435847
META,25.0,35.0,4.893565059515376
META,35.0,45.0,6.524753412687169
META,45.0,55.0,8.15594176585896
META,55.0,65.0,9.787130119030753
META,65.0,75.0,11.418318472202545
META,75.0,85.0,13.04950682537434
META,85.0,95.0,14.680695178546127
META,95.0,105.0,16.31188353171792
META,105.0,115.0,17.943071884889715
META,115.0,125.0,19.574260238061505
META,125.0,135.0,21.205448591233296
META,135.0,145.0,22.83663694440509
META,145.0,155.0,24.467825297576884
META,155.0,165.0,26.09901365074868
META,165.0,175.0,27.730202003920468
META,175.0,9999.0,244.67825297576883
