ticker,lower_strike,upper_strike,max_relative_strike
NFLX,0.0,25.0,22.436196808563757
NFLX,25.0,35.0,31.784612145465317
NFLX,35.0,45.0,41.13302748236688
NFLX,45.0,55.0,50.48144281926844
NFLX,55.0,65.0,60.297278923015085
NFLX,65.0,75.0,69.64569425991665
NFLX,75.0,85.0,78.9941095968182
NFLX,85.0,95.0,88.34252493371977
NFLX,95.0,105.0,97.69094027062133
NFLX,105.0,115.0,107.27306599094544
NFLX,115.0,125.0,116.38777094442445
NFLX,125.0,135.0,125.736186281326
NFLX,135.0,145.0,134.6171808513825
NFLX,145.0,155.0,143.96559618828405
NFLX,155.0,165.0,153.31401152518563
NFLX,165.0,175.0,162.6624268620872
NFLX,175.0,9999.0,2486.678479615816
