ticker,lower_strike,upper_strike,max_relative_strike
NVDA,0.0,25.0,13.42098032890944
NVDA,25.0,35.0,18.898931483566358
NVDA,35.0,45.0,24.37688263822327
NVDA,45.0,55.0,29.854833792880186
NVDA,55.0,65.0,35.3327849475371
NVDA,65.0,75.0,40.53683854446117
NVDA,75.0,85.0,46.01478969911808
NVDA,85.0,95.0,51.492740853775
NVDA,95.0,105.0,56.97069200843191
NVDA,105.0,115.0,62.448643163088825
NVDA,115.0,125.0,67.92659431774574
NVDA,125.0,135.0,73.40454547240266
NVDA,135.0,145.0,78.88249662705957
NVDA,145.0,155.0,84.36044778171649
NVDA,155.0,165.0,89.8383989363734
NVDA,165.0,175.0,95.31635009103032
NVDA,175.0,9999.0,1314.7082771176597
