ticker,lower_strike,upper_strike,max_relative_strike
PLTR,0.0,25.0,14.175654853620957
PLTR,25.0,35.0,20.33898305084746
PLTR,35.0,45.0,26.19414483821264
PLTR,45.0,55.0,30.81664098613251
PLTR,55.0,65.0,38.52080123266564
PLTR,65.0,75.0,44.68412942989215
PLTR,75.0,85.0,50.84745762711864
PLTR,85.0,95.0,57.01078582434514
PLTR,95.0,105.0,61.63328197226502
PLTR,105.0,115.0,67.79661016949152
PLTR,115.0,125.0,76.42526964560862
PLTR,125.0,135.0,82.58859784283513
PLTR,135.0,145.0,88.75192604006163
PLTR,145.0,155.0,93.99075500770417
PLTR,155.0,165.0,100.15408320493069
PLTR,165.0,175.0,106.31741140215716
PLTR,175.0,9999.0,252.6964560862866
