ticker,lower_strike,upper_strike,max_relative_strike
TSM,0.0,25.0,
TSM,25.0,35.0,
TSM,35.0,45.0,
TSM,45.0,55.0,17.566047437762972
TSM,55.0,65.0,21.079256925315565
TSM,65.0,75.0,24.59246641286816
TSM,75.0,85.0,28.105675900420756
TSM,85.0,95.0,31.61888538797335
TSM,95.0,105.0,35.132094875525944
TSM,105.0,115.0,38.64530436307854
TSM,115.0,125.0,42.15851385063113
TSM,125.0,135.0,45.671723338183725
TSM,135.0,145.0,49.18493282573632
TSM,145.0,155.0,52.69814231328891
TSM,155.0,165.0,56.21135180084151
TSM,165.0,175.0,59.7245612883941
TSM,175.0,9999.0,158.09442693986674
