contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AMZN251128C00120000,call,2025-11-28,120.0,2025-11-25 20:20:44+00:00,2025-11-25 15:20:44 EST,109.48,112.55,114.6,0.0,0.0,2.0,64,6.085939892578125,True,REGULAR,USD
AMZN251128C00125000,call,2025-11-28,125.0,2025-11-28 16:46:39+00:00,2025-11-28 11:46:39 EST,108.5,105.85,108.95,4.3099976,4.136671,1.0,2,6.46289254638672,True,REGULAR,USD
AMZN251128C00130000,call,2025-11-28,130.0,2025-11-28 16:46:39+00:00,2025-11-28 11:46:39 EST,103.54,100.85,104.0,2.090004,2.060132,2.0,11,6.175783530273437,True,REGULAR,USD
AMZN251128C00135000,call,2025-11-28,135.0,2025-11-28 15:45:49+00:00,2025-11-28 10:45:49 EST,96.57,98.05,99.0,5.419998,5.9462404,19.0,24,4.992191259765624,True,REGULAR,USD
AMZN251128C00140000,call,2025-11-28,140.0,2025-11-26 19:40:25+00:00,2025-11-26 14:40:25 EST,89.58,93.1,92.1,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00145000,call,2025-11-28,145.0,2025-11-26 14:45:00+00:00,2025-11-26 09:45:00 EST,85.35,87.0,88.3,0.0,0.0,1.0,10,3.6875007812500002,True,REGULAR,USD
AMZN251128C00150000,call,2025-11-28,150.0,2025-11-28 17:44:08+00:00,2025-11-28 12:44:08 EST,81.95,83.1,83.3,0.23999786,0.29371908,11.0,58,3.4531263671875,True,REGULAR,USD
AMZN251128C00160000,call,2025-11-28,160.0,2025-11-28 17:25:35+00:00,2025-11-28 12:25:35 EST,72.37,73.1,73.3,1.5200043,2.1453836,30.0,81,2.99219001953125,True,REGULAR,USD
AMZN251128C00165000,call,2025-11-28,165.0,2025-11-24 20:14:20+00:00,2025-11-24 15:14:20 EST,61.65,68.1,68.3,0.0,0.0,12.0,31,2.7656280859375,True,REGULAR,USD
AMZN251128C00170000,call,2025-11-28,170.0,2025-11-28 16:19:52+00:00,2025-11-28 11:19:52 EST,62.35,63.1,63.3,2.5499992,4.2642126,2.0,32,2.5546911132812498,True,REGULAR,USD
AMZN251128C00175000,call,2025-11-28,175.0,2025-11-28 16:59:34+00:00,2025-11-28 11:59:34 EST,57.7,58.1,58.3,1.3100014,2.3231094,21.0,23,2.3437541406249993,True,REGULAR,USD
AMZN251128C00185000,call,2025-11-28,185.0,2025-11-28 17:33:26+00:00,2025-11-28 12:33:26 EST,46.94,48.1,48.3,2.5699997,5.7922015,75.0,84,1.9375003125,True,REGULAR,USD
AMZN251128C00190000,call,2025-11-28,190.0,2025-11-28 17:55:00+00:00,2025-11-28 12:55:00 EST,42.85,43.1,43.3,3.4300003,8.701168,36.0,83,1.734376328125,True,REGULAR,USD
AMZN251128C00195000,call,2025-11-28,195.0,2025-11-28 17:55:00+00:00,2025-11-28 12:55:00 EST,37.85,37.55,38.3,3.209999,9.266741,37.0,96,1.54297103515625,True,REGULAR,USD
AMZN251128C00197500,call,2025-11-28,197.5,2025-11-28 17:27:43+00:00,2025-11-28 12:27:43 EST,34.73,35.6,35.8,2.5299988,7.8571386,1.0,9,1.4453152734375,True,REGULAR,USD
AMZN251128C00200000,call,2025-11-28,200.0,2025-11-28 17:58:21+00:00,2025-11-28 12:58:21 EST,33.22,33.1,33.3,3.7700005,12.801359,183.0,650,1.3515657421874998,True,REGULAR,USD
AMZN251128C00202500,call,2025-11-28,202.5,2025-11-26 20:50:00+00:00,2025-11-26 15:50:00 EST,26.9,29.5,29.65,0.0,0.0,4.0,69,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00205000,call,2025-11-28,205.0,2025-11-28 16:35:38+00:00,2025-11-28 11:35:38 EST,27.54,28.1,28.3,3.1100006,12.730253,28.0,403,1.16016044921875,True,REGULAR,USD
AMZN251128C00207500,call,2025-11-28,207.5,2025-11-28 17:38:41+00:00,2025-11-28 12:38:41 EST,24.3,25.6,25.8,2.25,10.204082,30.0,414,1.0664109179687502,True,REGULAR,USD
AMZN251128C00210000,call,2025-11-28,210.0,2025-11-28 17:57:30+00:00,2025-11-28 12:57:30 EST,23.0,23.1,23.3,3.7299995,19.35651,1391.0,1696,0.9687503125,True,REGULAR,USD
AMZN251128C00212500,call,2025-11-28,212.5,2025-11-28 17:59:52+00:00,2025-11-28 12:59:52 EST,20.68,20.6,20.8,3.7299995,22.005896,350.0,504,0.87500125,True,REGULAR,USD
AMZN251128C00215000,call,2025-11-28,215.0,2025-11-28 17:57:30+00:00,2025-11-28 12:57:30 EST,18.0,18.1,18.3,3.6499996,25.435537,636.0,1099,0.7812521875,True,REGULAR,USD
AMZN251128C00217500,call,2025-11-28,217.5,2025-11-28 17:55:00+00:00,2025-11-28 12:55:00 EST,15.73,15.2,15.45,3.83,32.184875,748.0,1662,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00220000,call,2025-11-28,220.0,2025-11-28 17:57:06+00:00,2025-11-28 12:57:06 EST,12.95,13.0,13.2,3.4499998,36.31579,1487.0,5937,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00222500,call,2025-11-28,222.5,2025-11-28 17:54:38+00:00,2025-11-28 12:54:38 EST,9.99,10.6,10.8,3.1399999,45.839413,268.0,8231,0.49414568359375005,True,REGULAR,USD
AMZN251128C00225000,call,2025-11-28,225.0,2025-11-28 17:59:32+00:00,2025-11-28 12:59:32 EST,8.04,8.1,8.3,3.4899998,76.703285,2173.0,9696,0.39551385742187506,True,REGULAR,USD
AMZN251128C00227500,call,2025-11-28,227.5,2025-11-28 17:59:28+00:00,2025-11-28 12:59:28 EST,5.74,5.6,5.8,3.3199997,137.19006,3902.0,7361,0.29395237304687494,True,REGULAR,USD
AMZN251128C00237500,call,2025-11-28,237.5,2025-11-28 17:59:02+00:00,2025-11-28 12:59:02 EST,0.01,0.0,0.01,-0.03,-75.0,2372.0,8150,0.1601646484375,False,REGULAR,USD
AMZN251128C00240000,call,2025-11-28,240.0,2025-11-28 17:59:35+00:00,2025-11-28 12:59:35 EST,0.01,0.0,0.01,-0.02,-66.66667,3225.0,16348,0.23438265625,False,REGULAR,USD
