contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
LLY251128C00530000,call,2025-11-28,530.0,2025-11-26 16:21:03+00:00,2025-11-26 11:21:03 EST,573.88,541.75,548.15,0.0,0.0,7.0,6,6.957032553710938,True,REGULAR,USD
LLY251128C00550000,call,2025-11-28,550.0,2025-11-26 16:22:19+00:00,2025-11-26 11:22:19 EST,555.05,523.45,528.6,0.0,0.0,3.0,4,5.310550236816405,True,REGULAR,USD
LLY251128C00560000,call,2025-11-28,560.0,2025-11-24 20:41:57+00:00,2025-11-24 15:41:57 EST,502.78,512.0,518.6,0.0,0.0,,2,6.642579821777345,True,REGULAR,USD
LLY251128C00610000,call,2025-11-28,610.0,2025-11-26 18:57:30+00:00,2025-11-26 13:57:30 EST,493.11,461.75,468.85,0.0,0.0,4.0,4,5.948244752197267,True,REGULAR,USD
LLY251128C00620000,call,2025-11-28,620.0,2025-11-26 16:29:41+00:00,2025-11-26 11:29:41 EST,484.26,452.0,458.75,0.0,0.0,2.0,2,5.767580915527344,True,REGULAR,USD
LLY251128C00645000,call,2025-11-28,645.0,2025-11-26 19:23:08+00:00,2025-11-26 14:23:08 EST,457.47,428.45,433.3,0.0,0.0,3.0,10,3.988281279296875,True,REGULAR,USD
LLY251128C00650000,call,2025-11-28,650.0,2025-11-26 20:43:56+00:00,2025-11-26 15:43:56 EST,457.13,422.0,428.9,0.0,0.0,4.0,11,5.37793296508789,True,REGULAR,USD
LLY251128C00665000,call,2025-11-28,665.0,2025-11-26 19:55:08+00:00,2025-11-26 14:55:08 EST,440.4,407.0,411.8,0.0,0.0,5.0,10,4.4160201049804675,True,REGULAR,USD
LLY251128C00690000,call,2025-11-28,690.0,2025-11-26 19:58:51+00:00,2025-11-26 14:58:51 EST,415.13,381.75,388.0,0.0,0.0,2.0,1,4.566410541992187,True,REGULAR,USD
LLY251128C00760000,call,2025-11-28,760.0,2025-11-26 17:06:03+00:00,2025-11-26 12:06:03 EST,344.54,311.75,317.6,0.0,0.0,2.0,4,3.586426815185547,True,REGULAR,USD
LLY251128C00817500,call,2025-11-28,817.5,2025-11-26 17:22:20+00:00,2025-11-26 12:22:20 EST,289.8,253.25,259.0,0.0,0.0,11.0,12,2.5966831958007814,True,REGULAR,USD
LLY251128C00820000,call,2025-11-28,820.0,2025-11-20 16:35:40+00:00,2025-11-20 11:35:40 EST,231.04,252.25,258.55,0.0,0.0,1.0,52,3.1206076672363277,True,REGULAR,USD
LLY251128C00845000,call,2025-11-28,845.0,2025-11-26 17:32:42+00:00,2025-11-26 12:32:42 EST,260.15,227.0,233.75,0.0,0.0,2.0,9,2.870120012207031,True,REGULAR,USD
LLY251128C00860000,call,2025-11-28,860.0,2025-11-28 15:01:49+00:00,2025-11-28 10:01:49 EST,217.43,213.15,218.7,-26.980011,-11.038833,1.0,29,1.9287112939453124,True,REGULAR,USD
LLY251128C00870000,call,2025-11-28,870.0,2025-11-26 18:13:49+00:00,2025-11-26 13:13:49 EST,233.32,202.1,208.8,0.0,0.0,72.0,73,2.593265235595703,True,REGULAR,USD
LLY251128C00875000,call,2025-11-28,875.0,2025-11-26 18:12:56+00:00,2025-11-26 13:12:56 EST,229.4,198.45,203.3,0.0,0.0,21.0,18,1.7685558447265624,True,REGULAR,USD
LLY251128C00880000,call,2025-11-28,880.0,2025-11-26 18:24:42+00:00,2025-11-26 13:24:42 EST,224.21,191.75,198.45,0.0,0.0,75.0,88,2.421390665283203,True,REGULAR,USD
LLY251128C00885000,call,2025-11-28,885.0,2025-11-28 17:46:36+00:00,2025-11-28 12:46:36 EST,189.0,187.0,190.15,-30.399994,-13.855968,2.0,21,1.0000000000000003e-05,True,REGULAR,USD
LLY251128C00925000,call,2025-11-28,925.0,2025-11-26 18:31:37+00:00,2025-11-26 13:31:37 EST,178.74,147.0,153.85,0.0,0.0,19.0,87,1.9833985205078126,True,REGULAR,USD
LLY251128C00932500,call,2025-11-28,932.5,2025-11-20 14:38:04+00:00,2025-11-20 09:38:04 EST,116.38,140.95,144.25,0.0,0.0,1.0,2,1.548342102050781,True,REGULAR,USD
LLY251128C00935000,call,2025-11-28,935.0,2025-11-26 18:31:37+00:00,2025-11-26 13:31:37 EST,168.75,136.75,143.1,0.0,0.0,10.0,58,1.7663585900878904,True,REGULAR,USD
LLY251128C00940000,call,2025-11-28,940.0,2025-11-28 17:35:50+00:00,2025-11-28 12:35:50 EST,133.15,132.0,138.3,-34.72,-20.682673,1.0,62,1.741700510253906,True,REGULAR,USD
LLY251128C00950000,call,2025-11-28,950.0,2025-11-28 15:39:27+00:00,2025-11-28 10:39:27 EST,124.32,121.8,128.05,-23.329994,-15.800877,2.0,110,1.5988789587402343,True,REGULAR,USD
LLY251128C00955000,call,2025-11-28,955.0,2025-11-28 15:54:37+00:00,2025-11-28 10:54:37 EST,124.05,117.0,123.6,33.550003,37.071827,1.0,9,1.6184101110839846,True,REGULAR,USD
LLY251128C00995000,call,2025-11-28,995.0,2025-11-26 20:40:40+00:00,2025-11-26 15:40:40 EST,112.77,78.15,84.0,0.0,0.0,25.0,52,0.8173846386718748,True,REGULAR,USD
LLY251128C01012500,call,2025-11-28,1012.5,2025-11-28 15:25:35+00:00,2025-11-28 10:25:35 EST,65.0,57.65,64.25,-11.599998,-15.143601,8.0,19,0.7753928710937501,True,REGULAR,USD
LLY251128C01020000,call,2025-11-28,1020.0,2025-11-28 17:45:19+00:00,2025-11-28 12:45:19 EST,54.62,53.7,57.7,-31.34,-36.45882,10.0,110,0.5039112109375,True,REGULAR,USD
LLY251128C01040000,call,2025-11-28,1040.0,2025-11-28 17:59:00+00:00,2025-11-28 12:59:00 EST,36.25,33.6,37.75,-31.169998,-46.23257,45.0,164,0.5880168151855469,True,REGULAR,USD
LLY251128C01045000,call,2025-11-28,1045.0,2025-11-28 17:52:02+00:00,2025-11-28 12:52:02 EST,27.92,28.45,30.45,-31.08,-52.677963,4.0,65,1.0000000000000003e-05,True,REGULAR,USD
LLY251128C01060000,call,2025-11-28,1060.0,2025-11-28 17:58:46+00:00,2025-11-28 12:58:46 EST,16.49,13.6,16.25,-31.929998,-65.943825,66.0,268,0.23584748535156247,True,REGULAR,USD
LLY251128C01070000,call,2025-11-28,1070.0,2025-11-28 17:59:28+00:00,2025-11-28 12:59:28 EST,6.6,3.05,9.0,-31.819998,-82.82145,141.0,180,0.2617261328125,True,REGULAR,USD
LLY251128C01075000,call,2025-11-28,1075.0,2025-11-28 17:59:44+00:00,2025-11-28 12:59:44 EST,1.5,0.64,3.55,-31.349998,-95.43379,777.0,214,0.14740842834472656,True,REGULAR,USD
