contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOG251205C00130000,call,2025-12-05,130.0,2025-12-01 14:36:27+00:00,2025-12-01 09:36:27 EST,188.5,184.8,187.8,40.399994,27.278862,1.0,4,4.212895358886718,True,REGULAR,USD
GOOG251205C00135000,call,2025-12-05,135.0,2025-12-01 15:22:34+00:00,2025-12-01 10:22:34 EST,182.35,179.8,182.8,34.740005,23.534994,37.0,1,4.049809625244141,True,REGULAR,USD
GOOG251205C00145000,call,2025-12-05,145.0,2025-12-01 15:22:34+00:00,2025-12-01 10:22:34 EST,172.42,170.2,172.85,29.220001,20.40503,37.0,10,2.5976597558593753,True,REGULAR,USD
GOOG251205C00150000,call,2025-12-05,150.0,2025-12-01 15:25:04+00:00,2025-12-01 10:25:04 EST,167.39,165.3,167.8,1.1100006,0.6675491,2.0,302,2.5546911132812498,True,REGULAR,USD
GOOG251205C00155000,call,2025-12-05,155.0,2025-11-26 16:11:15+00:00,2025-11-26 11:11:15 EST,164.91,159.8,162.8,0.0,0.0,11.0,12,3.4570326074218753,True,REGULAR,USD
GOOG251205C00160000,call,2025-12-05,160.0,2025-12-01 15:25:04+00:00,2025-12-01 10:25:04 EST,157.46,154.65,157.8,32.390007,25.897503,2.0,5,3.3212907592773435,True,REGULAR,USD
GOOG251205C00165000,call,2025-12-05,165.0,2025-11-25 14:41:59+00:00,2025-11-25 09:41:59 EST,161.83,149.65,152.85,0.0,0.0,1.0,1,3.2109394726562495,True,REGULAR,USD
GOOG251205C00170000,call,2025-12-05,170.0,2025-11-28 16:19:19+00:00,2025-11-28 11:19:19 EST,148.65,144.8,147.85,0.0,0.0,4.0,10,3.081056984863281,True,REGULAR,USD
GOOG251205C00180000,call,2025-12-05,180.0,2025-11-28 14:44:11+00:00,2025-11-28 09:44:11 EST,144.33,135.25,137.85,0.0,0.0,10.0,12,1.97265638671875,True,REGULAR,USD
GOOG251205C00185000,call,2025-12-05,185.0,2025-12-01 18:16:40+00:00,2025-12-01 13:16:40 EST,132.91,129.85,132.85,-0.08000183,-0.060156275,4.0,19,2.7148469628906247,True,REGULAR,USD
GOOG251205C00190000,call,2025-12-05,190.0,2025-12-01 15:40:27+00:00,2025-12-01 10:40:27 EST,126.98,124.7,127.85,-2.2300034,-1.7258751,1.0,7,2.598636315917969,True,REGULAR,USD
GOOG251205C00195000,call,2025-12-05,195.0,2025-12-01 19:00:29+00:00,2025-12-01 14:00:29 EST,122.83,120.15,122.85,-6.119995,-4.7460217,6.0,27,1.62109564453125,True,REGULAR,USD
GOOG251205C00200000,call,2025-12-05,200.0,2025-12-01 15:40:27+00:00,2025-12-01 10:40:27 EST,117.05,114.85,117.85,-1.5699997,-1.3235539,1.0,47,2.3745157824707026,True,REGULAR,USD
