contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TSM251205C00155000,call,2025-12-05,155.0,2025-11-26 20:49:00+00:00,2025-11-26 15:49:00 EST,136.35,133.8,137.05,0.0,0.0,,1,2.0625048437499998,True,REGULAR,USD
TSM251205C00160000,call,2025-12-05,160.0,2025-11-26 16:25:19+00:00,2025-11-26 11:25:19 EST,131.64,128.8,131.6,0.0,0.0,3.0,4,2.944338576660156,True,REGULAR,USD
TSM251205C00165000,call,2025-12-05,165.0,2025-11-26 20:49:00+00:00,2025-11-26 15:49:00 EST,126.4,123.8,126.65,0.0,0.0,,2,2.8330107299804688,True,REGULAR,USD
TSM251205C00170000,call,2025-12-05,170.0,2025-11-21 18:22:00+00:00,2025-11-21 13:22:00 EST,105.02,118.8,121.65,0.0,0.0,5.0,5,2.7036165222167967,True,REGULAR,USD
TSM251205C00175000,call,2025-12-05,175.0,2025-11-28 16:32:13+00:00,2025-11-28 11:32:13 EST,116.41,113.8,116.7,0.0,0.0,1.0,1,2.5966831958007814,True,REGULAR,USD
TSM251205C00180000,call,2025-12-05,180.0,2025-11-19 15:03:37+00:00,2025-11-19 10:03:37 EST,102.77,108.8,111.55,0.0,0.0,1.0,3,2.416019584960937,True,REGULAR,USD
TSM251205C00185000,call,2025-12-05,185.0,2025-12-01 16:27:46+00:00,2025-12-01 11:27:46 EST,104.28,103.8,106.75,9.629997,10.174324,1.0,4,2.3701212622070305,True,REGULAR,USD
TSM251205C00190000,call,2025-12-05,190.0,2025-12-01 16:27:46+00:00,2025-12-01 11:27:46 EST,99.36,98.8,101.65,18.46,22.818293,1.0,3,2.2177778930664056,True,REGULAR,USD
TSM251205C00200000,call,2025-12-05,200.0,2025-12-01 15:55:39+00:00,2025-12-01 10:55:39 EST,89.17,88.8,91.65,-2.630005,-2.864929,2.0,11,1.9912109814453123,True,REGULAR,USD
TSM251205C00205000,call,2025-12-05,205.0,2025-11-26 19:06:35+00:00,2025-11-26 14:06:35 EST,86.95,83.85,86.7,0.0,0.0,12.0,11,1.896484892578125,True,REGULAR,USD
TSM251205C00210000,call,2025-12-05,210.0,2025-11-26 19:06:33+00:00,2025-11-26 14:06:33 EST,81.95,78.85,81.7,0.0,0.0,1.0,2,1.7880869970703124,True,REGULAR,USD
TSM251205C00215000,call,2025-12-05,215.0,2025-11-28 16:31:55+00:00,2025-11-28 11:31:55 EST,76.45,73.85,76.7,0.0,0.0,1.0,1,1.6811539379882814,True,REGULAR,USD
TSM251205C00220000,call,2025-12-05,220.0,2025-12-01 16:28:02+00:00,2025-12-01 11:28:02 EST,69.24,68.85,71.7,4.3600006,6.7201,3.0,3,1.5761739941406248,True,REGULAR,USD
TSM251205C00225000,call,2025-12-05,225.0,2025-12-01 16:28:02+00:00,2025-12-01 11:28:02 EST,64.32,63.85,66.65,-2.6800003,-4.0000005,3.0,5,1.4599636376953122,True,REGULAR,USD
TSM251205C00230000,call,2025-12-05,230.0,2025-11-28 16:55:31+00:00,2025-11-28 11:55:31 EST,61.88,58.85,61.75,0.0,0.0,1.0,11,1.382327307128906,True,REGULAR,USD
TSM251205C00235000,call,2025-12-05,235.0,2025-11-18 15:29:16+00:00,2025-11-18 10:29:16 EST,41.7,53.85,56.75,0.0,0.0,11.0,11,1.280765314941406,True,REGULAR,USD
TSM251205C00240000,call,2025-12-05,240.0,2025-11-28 14:49:40+00:00,2025-11-28 09:49:40 EST,51.15,48.85,51.75,0.0,0.0,4.0,15,1.1804240197753906,True,REGULAR,USD
TSM251205C00245000,call,2025-12-05,245.0,2025-11-26 15:30:20+00:00,2025-11-26 10:30:20 EST,44.31,43.85,46.7,0.0,0.0,2.0,4,1.070805427246094,True,REGULAR,USD
TSM251205C00247500,call,2025-12-05,247.5,2025-11-25 16:12:48+00:00,2025-11-25 11:12:48 EST,31.27,41.4,44.2,0.0,0.0,2.0,3,1.021489267578125,True,REGULAR,USD
TSM251205C00250000,call,2025-12-05,250.0,2025-11-28 16:24:11+00:00,2025-11-28 11:24:11 EST,41.26,38.9,40.85,0.0,0.0,13.0,114,0.773439765625,True,REGULAR,USD
TSM251205C00255000,call,2025-12-05,255.0,2025-11-28 16:02:28+00:00,2025-11-28 11:02:28 EST,36.35,33.9,36.55,0.0,0.0,2.0,59,0.8466812207031249,True,REGULAR,USD
TSM251205C00257500,call,2025-12-05,257.5,2025-11-24 19:38:45+00:00,2025-11-24 14:38:45 EST,27.25,31.4,34.35,0.0,0.0,2.0,6,0.8493667407226562,True,REGULAR,USD
TSM251205C00260000,call,2025-12-05,260.0,2025-11-28 14:45:25+00:00,2025-11-28 09:45:25 EST,30.47,28.9,31.25,0.0,0.0,1.0,4055,0.6950714086914063,True,REGULAR,USD
TSM251205C00262500,call,2025-12-05,262.5,2025-11-26 17:00:03+00:00,2025-11-26 12:00:03 EST,29.25,26.45,28.7,0.0,0.0,1.0,16,0.639652041015625,True,REGULAR,USD
TSM251205C00265000,call,2025-12-05,265.0,2025-11-28 16:20:41+00:00,2025-11-28 11:20:41 EST,26.87,24.0,26.2,0.0,0.0,8.0,18,0.5937540625000001,True,REGULAR,USD
TSM251205C00267500,call,2025-12-05,267.5,2025-11-26 17:21:31+00:00,2025-11-26 12:21:31 EST,25.0,21.55,23.35,0.0,0.0,4.0,12,0.47900911621093745,True,REGULAR,USD
