contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
JPM251205C00160000,call,2025-12-05,160.0,2025-12-03 16:15:01+00:00,2025-12-03 11:15:01 EST,155.03,154.75,155.6,5.529999,3.6989958,2.0,25,4.066411166992188,True,REGULAR,USD
JPM251205C00165000,call,2025-12-05,165.0,2025-12-03 16:15:01+00:00,2025-12-03 11:15:01 EST,144.56,149.65,150.3,0.0,0.0,21.0,60,1.0000000000000003e-05,True,REGULAR,USD
JPM251205C00170000,call,2025-12-05,170.0,2025-12-03 17:09:56+00:00,2025-12-03 12:09:56 EST,139.2,144.85,147.15,0.0,0.0,2.0,1,4.25586405517578,True,REGULAR,USD
JPM251205C00175000,call,2025-12-05,175.0,2025-12-03 17:09:56+00:00,2025-12-03 12:09:56 EST,134.24,139.7,142.15,0.0,0.0,2.0,59,4.001958122558594,True,REGULAR,USD
JPM251205C00180000,call,2025-12-05,180.0,2025-12-01 16:19:15+00:00,2025-12-01 11:19:15 EST,130.23,134.8,137.2,0.0,0.0,,1,3.9042971142578127,True,REGULAR,USD
JPM251205C00185000,call,2025-12-05,185.0,2025-12-02 14:49:03+00:00,2025-12-02 09:49:03 EST,123.02,129.75,132.05,0.0,0.0,1.0,1,3.6386727783203128,True,REGULAR,USD
JPM251205C00195000,call,2025-12-05,195.0,2025-12-02 14:49:03+00:00,2025-12-02 09:49:03 EST,113.09,119.9,122.15,0.0,0.0,1.0,17,3.42968892578125,True,REGULAR,USD
JPM251205C00205000,call,2025-12-05,205.0,2025-12-02 14:51:39+00:00,2025-12-02 09:51:39 EST,103.0,109.5,112.1,0.0,0.0,1.0,17,2.925783935546875,True,REGULAR,USD
JPM251205C00215000,call,2025-12-05,215.0,2025-12-02 14:51:39+00:00,2025-12-02 09:51:39 EST,93.07,99.45,102.15,0.0,0.0,1.0,1,2.6406283984375003,True,REGULAR,USD
JPM251205C00230000,call,2025-12-05,230.0,2025-11-28 15:51:11+00:00,2025-11-28 10:51:11 EST,82.63,84.4,87.1,0.0,0.0,1.0,1,2.193363891601562,True,REGULAR,USD
