contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,tenor_days,snap_date,max_tenor_for_strike,spot_price,relative_strike
AAPL251205C00110000,call,2025-12-05,110.0,2025-12-04 16:24:30+00:00,2025-12-04 11:24:30 EST,170.55,169.65,170.7,-7.349991,-4.1315293,3.0,8,4.406254492187499,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,39.18774321921622
AAPL251205C00120000,call,2025-12-05,120.0,2025-11-05 16:30:23+00:00,2025-11-05 11:30:23 EST,150.51,158.75,161.55,0.0,0.0,,1,3.6250009375,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,42.75026533005406
AAPL251205C00135000,call,2025-12-05,135.0,2025-11-28 17:50:00+00:00,2025-11-28 12:50:00 EST,142.95,143.7,146.45,0.0,0.0,1.0,1,5.650393562011719,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,48.09404849631082
AAPL251205C00140000,call,2025-12-05,140.0,2025-12-03 15:29:34+00:00,2025-12-03 10:29:34 EST,147.59,138.75,141.65,0.0,0.0,1.0,1,3.5156262109375,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,49.87530955172974
AAPL251205C00150000,call,2025-12-05,150.0,2025-12-03 20:22:55+00:00,2025-12-03 15:22:55 EST,134.9,128.75,131.5,0.0,0.0,1.0,1,4.963870982666016,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,53.43783166256758
AAPL251205C00155000,call,2025-12-05,155.0,2025-12-02 19:29:53+00:00,2025-12-02 14:29:53 EST,131.02,123.7,126.55,0.0,0.0,2.0,2,4.770511849365233,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,55.2190927179865
AAPL251205C00160000,call,2025-12-05,160.0,2025-12-02 19:06:36+00:00,2025-12-02 14:06:36 EST,125.77,118.75,121.55,0.0,0.0,6.0,6,2.43750390625,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,57.00035377340542
AAPL251205C00165000,call,2025-12-05,165.0,2025-11-20 19:08:25+00:00,2025-11-20 14:08:25 EST,101.75,113.7,116.5,0.0,0.0,1.0,2,4.30273899658203,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,58.78161482882434
AAPL251205C00170000,call,2025-12-05,170.0,2025-12-02 19:30:35+00:00,2025-12-02 14:30:35 EST,113.13,109.65,111.3,-2.8600006,-2.4657304,2.0,4,3.2148457128906243,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,60.56287588424325
AAPL251205C00175000,call,2025-12-05,175.0,2025-12-03 19:51:44+00:00,2025-12-03 14:51:44 EST,110.12,103.7,106.65,0.0,0.0,1.0,1,2.31250421875,True,REGULAR,USD,0,2025-12-04,777,280.70001220703125,62.34413693966218
