contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,tenor_days,snap_date,max_tenor_for_strike,spot_price,relative_strike
AMZN251205C00120000,call,2025-12-05,120.0,2025-12-05 18:17:07+00:00,2025-12-05 13:17:07 EST,109.27,108.55,110.7,-2.9800034,-2.6547914,1.0,11,6.292970883789062,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,52.280747892734155
AMZN251205C00125000,call,2025-12-05,125.0,2025-12-03 16:28:11+00:00,2025-12-03 11:28:11 EST,106.96,103.55,105.7,0.0,0.0,2.0,1,5.937502578125001,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,54.45911238826475
AMZN251205C00130000,call,2025-12-05,130.0,2025-12-04 18:01:44+00:00,2025-12-04 13:01:44 EST,97.8,98.45,100.7,0.0,0.0,1.0,2,5.500003124999999,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,56.637476883795344
AMZN251205C00135000,call,2025-12-05,135.0,2025-12-05 17:42:34+00:00,2025-12-05 12:42:34 EST,94.1,93.55,95.65,-3.2200012,-3.3086736,19.0,34,5.218753476562499,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,58.81584137932593
AMZN251205C00140000,call,2025-12-05,140.0,2025-12-04 17:36:00+00:00,2025-12-04 12:36:00 EST,87.69,88.55,90.7,0.0,0.0,1.0,13,4.945316318359375,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,60.99420587485652
AMZN251205C00145000,call,2025-12-05,145.0,2025-12-02 19:45:05+00:00,2025-12-02 14:45:05 EST,90.22,83.45,85.7,0.0,0.0,1.0,2,4.554691806640625,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,63.17257037038711
AMZN251205C00150000,call,2025-12-05,150.0,2025-12-03 14:31:04+00:00,2025-12-03 09:31:04 EST,79.32,78.25,80.7,-3.4000015,-4.1102533,2.0,21,4.089848637695313,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,65.3509348659177
AMZN251205C00155000,call,2025-12-05,155.0,2025-12-05 19:13:28+00:00,2025-12-05 14:13:28 EST,74.45,73.5,75.5,-2.8300018,-3.6620107,1.0,13,3.8554691113281248,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,67.5292993614483
AMZN251205C00160000,call,2025-12-05,160.0,2025-12-04 20:52:58+00:00,2025-12-04 15:52:58 EST,69.36,68.55,70.7,0.0,0.0,10.0,13,3.761719345703125,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,69.70766385697888
AMZN251205C00165000,call,2025-12-05,165.0,2025-12-02 18:26:00+00:00,2025-12-02 13:26:00 EST,65.71,63.55,66.2,-4.6399994,-6.5955925,2.0,11,3.761719345703125,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,71.88602835250948
AMZN251205C00170000,call,2025-12-05,170.0,2025-12-02 18:25:47+00:00,2025-12-02 13:25:47 EST,60.36,58.55,60.7,-5.0,-7.6499386,2.0,16,3.2148457128906243,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,74.06439284804006
AMZN251205C00175000,call,2025-12-05,175.0,2025-12-02 20:50:09+00:00,2025-12-02 15:50:09 EST,59.65,53.55,55.7,0.0,0.0,4.0,7,2.949221376953125,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,76.24275734357066
AMZN251205C00177500,call,2025-12-05,177.5,2025-11-26 20:45:55+00:00,2025-11-26 15:45:55 EST,52.45,51.05,53.2,0.0,0.0,3.0,7,2.82031544921875,True,REGULAR,USD,-1,2025-12-05,-1,229.52999877929688,77.33193959133595
AMZN251205C00180000,call,2025-12-05,180.0,2025-12-05 18:47:54+00:00,2025-12-05 13:47:54 EST,49.82,49.0,50.6,-5.260002,-9.54975,9.0,79,2.8554716113281247,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,78.42112183910125
AMZN251205C00182500,call,2025-12-05,182.5,2025-12-04 19:48:20+00:00,2025-12-04 14:48:20 EST,47.97,46.0,48.15,2.9700012,6.600003,5.0,8,2.5117224707031247,True,REGULAR,USD,-1,2025-12-05,-1,229.52999877929688,79.51030408686654
AMZN251205C00185000,call,2025-12-05,185.0,2025-12-05 20:13:08+00:00,2025-12-05 15:13:08 EST,44.72,44.25,45.05,0.8199997,1.8678808,71.0,106,2.458988227539063,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,80.59948633463183
AMZN251205C00187500,call,2025-12-05,187.5,2025-12-05 18:51:14+00:00,2025-12-05 13:51:14 EST,41.95,41.35,42.6,-3.5999985,-7.9033995,51.0,11,2.156254609375,True,REGULAR,USD,-1,2025-12-05,-1,229.52999877929688,81.68866858239713
AMZN251205C00190000,call,2025-12-05,190.0,2025-12-05 20:01:57+00:00,2025-12-05 15:01:57 EST,39.65,39.05,40.25,1.420002,3.7143657,24.0,171,2.205082612304687,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,82.77785083016242
AMZN251205C00192500,call,2025-12-05,192.5,2025-12-05 15:40:57+00:00,2025-12-05 10:40:57 EST,38.12,35.85,38.7,1.6699982,4.5816135,5.0,25,2.175785810546875,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,83.86703307792772
AMZN251205C00195000,call,2025-12-05,195.0,2025-12-05 16:41:34+00:00,2025-12-05 11:41:34 EST,34.5,33.85,35.5,-3.369999,-8.898862,20.0,74,1.97265638671875,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,84.95621532569302
AMZN251205C00197500,call,2025-12-05,197.5,2025-12-05 15:41:15+00:00,2025-12-05 10:41:15 EST,33.21,31.05,33.75,-1.4300003,-4.1281767,5.0,3,1.998046884765625,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,86.0453975734583
AMZN251205C00200000,call,2025-12-05,200.0,2025-12-05 19:52:18+00:00,2025-12-05 14:52:18 EST,29.51,29.25,29.9,0.7399998,2.5721228,75.0,492,1.6484392578125,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,87.1345798212236
AMZN251205C00202500,call,2025-12-05,202.5,2025-12-03 19:43:09+00:00,2025-12-03 14:43:09 EST,29.6,25.6,28.75,0.0,0.0,5.0,6,1.5966817041015622,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,88.2237620689889
AMZN251205C00205000,call,2025-12-05,205.0,2025-12-05 19:21:28+00:00,2025-12-05 14:21:28 EST,24.77,23.35,25.8,0.6700001,2.7800832,15.0,274,1.40625296875,True,REGULAR,USD,-1,2025-12-05,741,229.52999877929688,89.3129443167542
AMZN251205C00207500,call,2025-12-05,207.5,2025-12-05 19:35:55+00:00,2025-12-05 14:35:55 EST,22.1,21.1,22.95,0.7800007,3.6585398,12.0,56,1.25000375,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,90.40212656451949
AMZN251205C00210000,call,2025-12-05,210.0,2025-12-05 20:01:53+00:00,2025-12-05 15:01:53 EST,19.5,18.75,20.0,0.37000084,1.9210845,173.0,832,1.021489267578125,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,91.49130881228479
AMZN251205C00212500,call,2025-12-05,212.5,2025-12-05 20:14:50+00:00,2025-12-05 15:14:50 EST,16.95,16.9,17.05,0.30000114,1.8018087,6.0,272,0.97851583984375,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,92.58049106005008
AMZN251205C00215000,call,2025-12-05,215.0,2025-12-05 20:14:50+00:00,2025-12-05 15:14:50 EST,14.45,14.3,14.45,0.42999935,3.0670424,653.0,870,0.795900478515625,True,REGULAR,USD,-1,2025-12-05,741,229.52999877929688,93.66967330781537
AMZN251205C00217500,call,2025-12-05,217.5,2025-12-05 20:14:50+00:00,2025-12-05 15:14:50 EST,11.95,11.9,12.0,0.8800001,7.9494143,635.0,878,0.7246121289062499,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,94.75885555558067
AMZN251205C00220000,call,2025-12-05,220.0,2025-12-05 20:14:28+00:00,2025-12-05 15:14:28 EST,9.52,9.4,9.55,0.4800005,5.30974,1378.0,2369,0.614261669921875,True,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,95.84803780334596
AMZN251205C00222500,call,2025-12-05,222.5,2025-12-05 20:14:51+00:00,2025-12-05 15:14:51 EST,6.9,6.8,6.95,0.099999905,1.4705868,495.0,1249,0.4755911816406249,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,96.93722005111127
AMZN251205C00225000,call,2025-12-05,225.0,2025-12-05 20:08:02+00:00,2025-12-05 15:08:02 EST,4.59,4.35,4.45,0.14000034,3.1460752,1587.0,5668,0.34180345703125,True,REGULAR,USD,-1,2025-12-05,741,229.52999877929688,98.02640229887656
AMZN251205C00227500,call,2025-12-05,227.5,2025-12-05 20:14:50+00:00,2025-12-05 15:14:50 EST,1.98,1.92,2.01,-0.51,-20.481928,4795.0,8854,0.2094805615234374,True,REGULAR,USD,-1,2025-12-05,13,229.52999877929688,99.11558454664186
AMZN251205C00230000,call,2025-12-05,230.0,2025-12-05 20:15:18+00:00,2025-12-05 15:15:18 EST,0.07,0.06,0.08,-0.98999995,-94.28571,39176.0,18783,0.075204560546875,False,REGULAR,USD,-1,2025-12-05,776,229.52999877929688,100.20476679440715
